Date,Adj Close
2005-01-01,18.85
2005-01-08,18.97
2005-01-15,18.72
2005-01-22,18.67
2005-01-29,19.36
2005-02-05,19.53
2005-02-12,20.05
2005-02-19,20.59
2005-02-26,20.97
2005-03-05,20.6
2005-03-12,20.22
2005-03-19,19.91
2005-03-26,19.79
2005-04-02,19.74
2005-04-09,18.11
2005-04-16,18.48
2005-04-23,18.43
2005-04-30,18.93
2005-05-07,17.77
2005-05-14,18.35
2005-05-21,18.45
2005-05-28,18.49
2005-06-04,18.51
2005-06-11,18.95
2005-06-18,18.08
2005-06-25,17.93
2005-07-02,18.31
2005-07-09,18.45
2005-07-16,19.03
2005-07-23,18.94
2005-07-30,18.91
2005-08-06,19.1
2005-08-13,18.58
2005-08-20,18.03
2005-08-27,18.19
2005-09-03,18.52
2005-09-10,18.4
2005-09-17,18.01
2005-09-24,18.29
2005-10-01,17.68
2005-10-08,17.5
2005-10-15,17.63
2005-10-22,18.27
2005-10-29,18.52
2005-11-05,19.02
2005-11-12,19.48
2005-11-19,19.75
2005-11-26,20.03
2005-12-03,20.09
2005-12-10,19.81
2005-12-17,20.45
2005-12-24,20.29
2005-12-31,21.04
2006-01-07,20.49
2006-01-14,20.18
2006-01-21,21.18
2006-01-28,20.83
2006-02-04,20.71
2006-02-11,21.21
2006-02-18,21.26
2006-02-25,21.27
2006-03-04,20.98
2006-03-11,21.57
2006-03-18,21.58
2006-03-25,21.79
2006-04-01,22.1
2006-04-08,22.19
2006-04-15,23.17
2006-04-22,22.56
2006-04-29,23.33
2006-05-06,22.76
2006-05-13,21.72
2006-05-20,21.93
2006-05-27,22.1
2006-06-03,20.59
2006-06-10,20.6
2006-06-17,20.98
2006-06-24,21.76
2006-07-01,21.57
2006-07-08,20.87
2006-07-15,20.37
2006-07-22,20.86
2006-07-29,21.14
2006-08-05,20.85
2006-08-12,21.48
2006-08-19,21.4
2006-08-26,21.82
2006-09-02,21.53
2006-09-09,21.13
2006-09-16,21.22
2006-09-23,21.58
2006-09-30,21.81
2006-10-07,22.33
2006-10-14,22.29
2006-10-21,22.77
