Date,Adj Close
2005-01-01,20.57
2005-01-08,21.45
2005-01-15,21.41
2005-01-22,21.83
2005-01-29,22.97
2005-02-05,23.78
2005-02-12,24.74
2005-02-19,25.98
2005-02-26,26.42
2005-03-05,25.18
2005-03-12,25.75
2005-03-19,24.81
2005-03-26,25.93
2005-04-02,25.21
2005-04-09,23.45
2005-04-16,24.81
2005-04-23,23.93
2005-04-30,24.26
2005-05-07,22.9
2005-05-14,23.4
2005-05-21,24.79
2005-05-28,25.16
2005-06-04,25.76
2005-06-11,27.05
2005-06-18,26.61
2005-06-25,26.9
2005-07-02,27.38
2005-07-09,26.86
2005-07-16,28.06
2005-07-23,28.18
2005-07-30,28.65
2005-08-06,29.7
2005-08-13,28.52
2005-08-20,28.41
2005-08-27,30.16
2005-09-03,31.26
2005-09-10,30.95
2005-09-17,31.21
2005-09-24,31.87
2005-10-01,29.41
2005-10-08,28.7
2005-10-15,27.32
2005-10-22,28.66
2005-10-29,29.39
2005-11-05,28.18
2005-11-12,29.12
2005-11-19,30.28
2005-11-26,30.38
2005-12-03,30.77
2005-12-10,30.32
2005-12-17,30.51
2005-12-24,29.95
2005-12-31,31.82
2006-01-07,32.42
2006-01-14,33.58
2006-01-21,33.72
2006-01-28,32.87
2006-02-04,31.28
2006-02-11,31.56
2006-02-18,31.93
2006-02-25,32.22
2006-03-04,30.59
2006-03-11,31.94
2006-03-18,32.16
2006-03-25,32.48
2006-04-01,33.05
2006-04-08,33.32
2006-04-15,35.67
2006-04-22,34.12
2006-04-29,35.14
2006-05-06,33.88
2006-05-13,32.25
2006-05-20,32.9
2006-05-27,33.75
2006-06-03,31.52
2006-06-10,31.7
2006-06-17,31.99
2006-06-24,34.01
2006-07-01,33.97
2006-07-08,34.65
2006-07-15,32.65
2006-07-22,34.62
2006-07-29,34.66
2006-08-05,34.85
2006-08-12,34.45
2006-08-19,34.89
2006-08-26,33.86
2006-09-02,32.33
2006-09-09,31.07
2006-09-16,30.87
2006-09-23,32.14
2006-09-30,31.68
2006-10-07,32.46
2006-10-14,32.89
2006-10-21,33.78
2006-10-28,34.03
2006-11-04,34.55
2006-11-11,34.33
2006-11-18,34.6
2006-11-25,36.51
2006-12-02,36.24
2006-12-09,36.69
2006-12-16,35.34
2006-12-23,35.36
2006-12-30,33.73
2007-01-06,33.44
2007-01-13,34.12
2007-01-20,34.29
2007-01-27,35.36
2007-02-03,35.22
2007-02-10,34.98
2007-02-17,35.37
2007-02-24,33.8
2007-03-03,34.62
2007-03-10,34.01
2007-03-17,36.44
2007-03-24,36.47
2007-03-31,37.36
2007-04-07,38.15
2007-04-14,38.18
2007-04-21,38.8
2007-04-28,39.12
2007-05-05,39.46
2007-05-12,41.04
2007-05-19,40.96
2007-05-26,41.7
2007-06-02,41.1
2007-06-09,42.95
2007-06-16,42.33
2007-06-23,41.87
2007-06-30,43.41
2007-07-07,44.88
2007-07-14,44.91
2007-07-21,41.57
2007-07-28,40.12
2007-08-04,41.1
2007-08-11,40.96
2007-08-18,42.02
2007-08-25,42.38
2007-09-01,42.64
2007-09-08,44.0
2007-09-15,45.94
2007-09-22,45.51
2007-09-29,45.7
2007-10-06,46.95
2007-10-13,45.27
2007-10-20,46.82
2007-10-27,46.15
2007-11-03,45.3
2007-11-10,44.21
2007-11-17,45.05
2007-11-24,44.7
2007-12-01,46.35
2007-12-08,46.52
2007-12-15,48.25
2007-12-22,49.03
2007-12-29,47.28
2008-01-05,46.12
2008-01-12,42.03
2008-01-19,41.91
2008-01-26,43.52
2008-02-02,42.61
2008-02-09,44.44
2008-02-16,45.69
2008-02-23,46.39
2008-03-01,44.99
2008-03-08,45.6
2008-03-15,43.19
2008-03-22,44.9
2008-03-29,47.3
2008-04-05,47.41
2008-04-12,51.14
2008-04-19,50.7
2008-04-26,49.84
2008-05-03,51.86
2008-05-10,54.42
2008-05-17,52.77
2008-05-24,52.61
2008-05-31,52.62
2008-06-07,52.98
2008-06-14,52.46
2008-06-21,53.52
2008-06-28,52.08
2008-07-05,50.17
2008-07-12,47.17
2008-07-19,45.27
2008-07-26,45.63
2008-08-02,43.54
2008-08-09,43.43
2008-08-16,45.77
2008-08-23,45.79
2008-08-30,41.97
2008-09-06,42.28
2008-09-13,43.7
2008-09-20,41.66
2008-09-27,35.7
2008-10-04,26.71
2008-10-11,28.27
2008-10-18,26.86
2008-10-25,31.63
2008-11-01,30.68
2008-11-08,29.4
2008-11-15,27.33
2008-11-22,30.94
2008-11-29,27.17
2008-12-06,29.71
2008-12-13,28.31
2008-12-20,27.93
2008-12-27,31.02
2009-01-03,30.09
2009-01-10,28.79
2009-01-17,29.11
2009-01-24,29.02
2009-01-31,30.6
2009-02-07,29.07
2009-02-14,26.21
2009-02-21,25.44
2009-02-28,23.99
2009-03-07,25.67
2009-03-14,26.6
2009-03-21,27.65
2009-03-28,28.61
2009-04-04,28.35
2009-04-11,28.46
2009-04-18,28.64
2009-04-25,29.38
2009-05-02,32.23
2009-05-09,29.84
2009-05-16,30.22
2009-05-23,32.13
2009-05-30,32.4
2009-06-06,33.27
2009-06-13,30.6
2009-06-20,29.93
2009-06-27,28.85
2009-07-04,27.91
2009-07-11,30.28
2009-07-18,31.99
2009-07-25,31.63
2009-08-01,31.76
2009-08-08,31.69
2009-08-15,32.71
2009-08-22,32.61
2009-08-29,31.85
2009-09-05,33.49
2009-09-12,34.48
2009-09-19,33.62
2009-09-26,32.62
2009-10-03,35.25
2009-10-10,37.03
2009-10-17,36.59
2009-10-24,34.68
2009-10-31,35.83
2009-11-07,35.95
2009-11-14,35.53
2009-11-21,35.79
2009-11-28,35.09
2009-12-05,34.85
2009-12-12,35.24
2009-12-19,36.48
2009-12-26,35.98
