Date,Adj Close
2005-01-01,20.78
2005-01-08,20.73
2005-01-15,20.33
2005-01-22,20.53
2005-01-29,20.97
2005-02-05,21.09
2005-02-12,21.01
2005-02-19,21.17
2005-02-26,21.52
2005-03-05,21.37
2005-03-12,21.06
2005-03-19,21.06
2005-03-26,20.83
2005-04-02,20.88
2005-04-09,20.01
2005-04-16,20.25
2005-04-23,20.27
2005-04-30,20.45
2005-05-07,20.16
2005-05-14,20.92
2005-05-21,20.96
2005-05-28,20.89
2005-06-04,20.84
2005-06-11,20.99
2005-06-18,20.3
2005-06-25,20.43
2005-07-02,20.66
2005-07-09,20.81
2005-07-16,21.13
2005-07-23,21.13
2005-07-30,20.8
2005-08-06,20.98
2005-08-13,20.82
2005-08-20,20.52
2005-08-27,20.62
2005-09-03,20.95
2005-09-10,20.86
2005-09-17,20.7
2005-09-24,20.98
2005-10-01,20.73
2005-10-08,20.61
2005-10-15,20.38
2005-10-22,20.63
2005-10-29,20.93
2005-11-05,21.24
2005-11-12,21.77
2005-11-19,21.99
2005-11-26,22.05
2005-12-03,21.88
2005-12-10,22.03
2005-12-17,22.28
2005-12-24,21.99
2005-12-31,22.24
2006-01-07,22.13
2006-01-14,21.67
2006-01-21,22.13
2006-01-28,22.0
2006-02-04,22.3
2006-02-11,22.77
2006-02-18,22.86
2006-02-25,22.91
2006-03-04,22.99
2006-03-11,23.65
2006-03-18,23.66
2006-03-25,23.74
2006-04-01,23.85
2006-04-08,23.79
2006-04-15,24.51
2006-04-22,24.26
2006-04-29,25.06
2006-05-06,24.54
2006-05-13,23.91
2006-05-20,23.98
2006-05-27,24.12
2006-06-03,23.07
2006-06-10,23.36
2006-06-17,23.41
2006-06-24,23.81
2006-07-01,23.43
2006-07-08,22.54
2006-07-15,22.33
2006-07-22,22.55
2006-07-29,22.58
2006-08-05,21.99
2006-08-12,22.91
2006-08-19,22.49
2006-08-26,22.88
2006-09-02,22.67
2006-09-09,23.05
2006-09-16,22.91
2006-09-23,23.58
2006-09-30,24.22
2006-10-07,24.44
2006-10-14,24.25
2006-10-21,24.22
2006-10-28,23.99
2006-11-04,24.4
2006-11-11,25.04
2006-11-18,25.09
2006-11-25,24.7
2006-12-02,24.97
2006-12-09,24.9
2006-12-16,24.96
2006-12-23,24.96
2006-12-30,24.93
2007-01-06,25.37
2007-01-13,25.4
2007-01-20,25.1
2007-01-27,25.8
2007-02-03,25.56
2007-02-10,26.14
2007-02-17,26.1
2007-02-24,24.84
2007-03-03,25.28
2007-03-10,25.13
2007-03-17,25.98
2007-03-24,25.4
2007-03-31,25.6
2007-04-07,25.77
2007-04-14,26.31
2007-04-21,26.89
2007-04-28,27.14
2007-05-05,27.29
2007-05-12,27.33
2007-05-19,27.51
2007-05-26,28.07
2007-06-02,27.62
2007-06-09,28.17
2007-06-16,28.05
2007-06-23,27.97
2007-06-30,28.51
2007-07-07,29.17
2007-07-14,29.3
2007-07-21,28.02
2007-07-28,28.05
2007-08-04,27.6
2007-08-11,27.22
2007-08-18,28.08
2007-08-25,28.24
2007-09-01,27.73
2007-09-08,28.33
2007-09-15,29.11
2007-09-22,29.58
2007-09-29,29.94
2007-10-06,29.75
2007-10-13,28.73
2007-10-20,29.02
2007-10-27,28.96
2007-11-03,28.02
2007-11-10,27.94
2007-11-17,27.48
2007-11-24,28.37
2007-12-01,29.02
2007-12-08,28.41
2007-12-15,28.48
2007-12-22,28.46
2007-12-29,27.31
2008-01-05,26.36
2008-01-12,25.09
2008-01-19,25.9
2008-01-26,27.38
2008-02-02,26.17
2008-02-09,26.6
2008-02-16,26.88
2008-02-23,26.22
2008-03-01,25.76
2008-03-08,26.1
2008-03-15,26.5
2008-03-22,26.77
2008-03-29,27.9
2008-04-05,26.47
2008-04-12,27.85
2008-04-19,27.88
2008-04-26,28.27
2008-05-03,27.79
2008-05-10,28.54
2008-05-17,27.46
2008-05-24,28.22
2008-05-31,26.89
2008-06-07,26.9
2008-06-14,26.09
2008-06-21,24.6
2008-06-28,24.39
2008-07-05,24.16
2008-07-12,25.04
2008-07-19,25.16
2008-07-26,25.0
2008-08-02,26.07
2008-08-09,26.03
2008-08-16,25.76
2008-08-23,25.71
2008-08-30,24.65
2008-09-06,24.9
2008-09-13,24.17
2008-09-20,23.17
2008-09-27,20.42
2008-10-04,17.28
2008-10-11,17.29
2008-10-18,16.21
2008-10-25,18.48
2008-11-01,17.49
2008-11-08,16.44
2008-11-15,15.11
2008-11-22,16.96
2008-11-29,16.63
2008-12-06,16.35
2008-12-13,16.57
2008-12-20,16.65
2008-12-27,18.0
2009-01-03,17.22
2009-01-10,16.17
2009-01-17,15.29
2009-01-24,15.28
2009-01-31,15.67
2009-02-07,15.08
2009-02-14,13.8
2009-02-21,12.67
2009-02-28,11.49
2009-03-07,12.79
2009-03-14,12.89
2009-03-21,14.43
2009-03-28,14.87
2009-04-04,15.33
2009-04-11,15.8
2009-04-18,16.21
2009-04-25,16.46
2009-05-02,17.59
2009-05-09,16.31
2009-05-16,16.23
2009-05-23,16.83
2009-05-30,17.76
2009-06-06,17.65
2009-06-13,16.61
2009-06-20,16.55
2009-06-27,16.09
2009-07-04,15.61
2009-07-11,16.86
2009-07-18,17.64
2009-07-25,17.99
2009-08-01,18.92
2009-08-08,18.63
2009-08-15,19.06
2009-08-22,19.07
2009-08-29,19.07
2009-09-05,19.85
2009-09-12,20.35
2009-09-19,19.79
2009-09-26,19.2
2009-10-03,20.11
2009-10-10,20.49
2009-10-17,20.21
2009-10-24,19.15
2009-10-31,20.36
2009-11-07,20.83
2009-11-14,20.8
2009-11-21,20.77
2009-11-28,21.33
2009-12-05,21.33
2009-12-12,21.09
2009-12-19,21.53
2009-12-26,21.18
