Date,Adj Close
2005-01-01,13.91
2005-01-08,14.17
2005-01-15,14.13
2005-01-22,14.46
2005-01-29,14.97
2005-02-05,14.96
2005-02-12,14.92
2005-02-19,15.05
2005-02-26,15.28
2005-03-05,15.05
2005-03-12,15.0
2005-03-19,14.89
2005-03-26,15.16
2005-04-02,15.26
2005-04-09,15.04
2005-04-16,15.4
2005-04-23,15.58
2005-04-30,15.46
2005-05-07,15.12
2005-05-14,15.48
2005-05-21,15.57
2005-05-28,15.8
2005-06-04,15.92
2005-06-11,16.0
2005-06-18,16.26
2005-06-25,16.64
2005-07-02,16.72
2005-07-09,16.73
2005-07-16,16.62
2005-07-23,16.86
2005-07-30,16.67
2005-08-06,16.59
2005-08-13,16.53
2005-08-20,16.8
2005-08-27,17.24
2005-09-03,17.47
2005-09-10,17.55
2005-09-17,17.21
2005-09-24,17.69
2005-10-01,16.99
2005-10-08,16.25
2005-10-15,15.98
2005-10-22,16.35
2005-10-29,16.26
2005-11-05,16.13
2005-11-12,16.41
2005-11-19,16.72
2005-11-26,16.62
2005-12-03,16.85
2005-12-10,17.01
2005-12-17,16.91
2005-12-24,16.67
2005-12-31,17.09
2006-01-07,17.1
2006-01-14,17.37
2006-01-21,17.2
2006-01-28,16.82
2006-02-04,16.88
2006-02-11,17.16
2006-02-18,17.28
2006-02-25,17.16
2006-03-04,16.84
2006-03-11,17.08
2006-03-18,16.85
2006-03-25,16.5
2006-04-01,16.41
2006-04-08,16.18
2006-04-15,16.72
2006-04-22,16.76
2006-04-29,17.22
2006-05-06,16.73
2006-05-13,16.64
2006-05-20,16.93
2006-05-27,17.41
2006-06-03,17.38
2006-06-10,17.18
2006-06-17,17.09
2006-06-24,17.42
2006-07-01,17.54
2006-07-08,17.62
2006-07-15,18.06
2006-07-22,18.34
2006-07-29,18.39
2006-08-05,18.28
2006-08-12,18.53
2006-08-19,18.52
2006-08-26,18.78
2006-09-02,18.54
2006-09-09,18.2
2006-09-16,18.25
2006-09-23,18.49
2006-09-30,18.62
2006-10-07,18.8
2006-10-14,19.37
2006-10-21,19.46
2006-10-28,19.36
2006-11-04,19.53
2006-11-11,19.61
2006-11-18,19.69
2006-11-25,19.98
2006-12-02,20.0
2006-12-09,20.1
2006-12-16,20.07
2006-12-23,20.16
2006-12-30,19.82
