Date,Adj Close
2005-01-01,21.55
2005-01-08,21.49
2005-01-15,21.28
2005-01-22,21.15
2005-01-29,21.61
2005-02-05,21.7
2005-02-12,21.97
2005-02-19,22.16
2005-02-26,22.2
2005-03-05,21.88
2005-03-12,21.43
2005-03-19,21.66
2005-03-26,21.52
2005-04-02,22.14
2005-04-09,22.39
2005-04-16,22.16
2005-04-23,22.46
2005-04-30,22.66
2005-05-07,22.59
2005-05-14,22.87
2005-05-21,22.82
2005-05-28,22.72
2005-06-04,22.62
2005-06-11,23.01
2005-06-18,22.67
2005-06-25,22.59
2005-07-02,22.79
2005-07-09,22.97
2005-07-16,22.89
2005-07-23,23.13
2005-07-30,23.0
2005-08-06,23.15
2005-08-13,22.89
2005-08-20,22.62
2005-08-27,23.05
2005-09-03,23.63
2005-09-10,23.33
2005-09-17,23.01
2005-09-24,22.93
2005-10-01,22.49
2005-10-08,22.53
2005-10-15,22.11
2005-10-22,22.12
2005-10-29,22.41
2005-11-05,22.73
2005-11-12,22.86
2005-11-19,22.86
2005-11-26,22.8
2005-12-03,22.82
2005-12-10,23.18
2005-12-17,23.69
2005-12-24,23.27
2005-12-31,23.89
2006-01-07,23.82
2006-01-14,23.46
2006-01-21,23.69
2006-01-28,23.49
2006-02-04,23.51
2006-02-11,23.98
2006-02-18,23.98
2006-02-25,23.74
2006-03-04,23.79
2006-03-11,24.01
2006-03-18,24.06
2006-03-25,23.54
2006-04-01,23.03
2006-04-08,22.83
2006-04-15,22.94
2006-04-22,22.81
2006-04-29,22.66
2006-05-06,22.37
2006-05-13,22.29
2006-05-20,22.49
2006-05-27,22.74
2006-06-03,22.4
2006-06-10,22.31
2006-06-17,22.15
2006-06-24,22.34
2006-07-01,22.47
2006-07-08,22.14
2006-07-15,22.88
2006-07-22,23.64
2006-07-29,23.51
2006-08-05,23.32
2006-08-12,23.87
2006-08-19,24.03
2006-08-26,24.36
2006-09-02,24.17
2006-09-09,24.48
2006-09-16,24.38
2006-09-23,24.6
2006-09-30,24.66
2006-10-07,24.56
2006-10-14,25.1
2006-10-21,24.93
2006-10-28,24.52
2006-11-04,24.09
2006-11-11,24.63
2006-11-18,24.48
2006-11-25,24.63
2006-12-02,24.64
2006-12-09,24.77
2006-12-16,24.88
2006-12-23,24.91
2006-12-30,25.06
2007-01-06,25.5
2007-01-13,25.79
2007-01-20,25.46
2007-01-27,25.84
2007-02-03,25.7
2007-02-10,25.84
2007-02-17,25.58
2007-02-24,24.74
2007-03-03,25.02
2007-03-10,24.7
2007-03-17,25.33
2007-03-24,25.13
2007-03-31,25.85
2007-04-07,26.46
2007-04-14,27.0
2007-04-21,27.05
2007-04-28,27.4
2007-05-05,27.07
2007-05-12,27.32
2007-05-19,27.34
2007-05-26,27.46
2007-06-02,26.77
2007-06-09,26.93
2007-06-16,26.25
2007-06-23,26.51
2007-06-30,26.76
2007-07-07,26.97
2007-07-14,26.45
2007-07-21,25.21
2007-07-28,25.28
2007-08-04,25.45
2007-08-11,25.32
2007-08-18,25.96
2007-08-25,25.83
2007-09-01,25.8
2007-09-08,26.12
2007-09-15,26.61
2007-09-22,26.63
2007-09-29,27.31
2007-10-06,27.31
2007-10-13,26.52
2007-10-20,26.88
2007-10-27,26.68
2007-11-03,26.3
2007-11-10,26.77
2007-11-17,26.5
2007-11-24,27.47
2007-12-01,27.69
2007-12-08,26.89
2007-12-15,27.02
2007-12-22,26.8
2007-12-29,26.3
2008-01-05,27.57
2008-01-12,26.21
2008-01-19,24.94
2008-01-26,25.6
2008-02-02,25.03
2008-02-09,25.2
2008-02-16,25.23
2008-02-23,24.8
2008-03-01,24.0
2008-03-08,23.2
2008-03-15,23.51
2008-03-22,23.79
2008-03-29,24.0
2008-04-05,23.95
2008-04-12,24.02
2008-04-19,24.16
2008-04-26,24.34
2008-05-03,23.9
2008-05-10,24.08
2008-05-17,23.81
2008-05-24,24.36
2008-05-31,23.86
2008-06-07,23.44
2008-06-14,22.78
2008-06-21,23.08
2008-06-28,23.27
2008-07-05,23.52
2008-07-12,24.19
2008-07-19,24.32
2008-07-26,24.2
2008-08-02,25.42
2008-08-09,25.65
2008-08-16,25.42
2008-08-23,24.88
2008-08-30,24.3
2008-09-06,24.72
2008-09-13,24.07
2008-09-20,23.64
2008-09-27,22.73
2008-10-04,18.5
2008-10-11,20.01
2008-10-18,19.7
2008-10-25,20.39
2008-11-01,20.26
2008-11-08,19.58
2008-11-15,18.08
2008-11-22,19.1
2008-11-29,19.31
2008-12-06,19.25
2008-12-13,20.0
2008-12-20,19.93
2008-12-27,20.89
2009-01-03,20.17
2009-01-10,20.1
2009-01-17,20.11
2009-01-24,20.23
2009-01-31,21.14
2009-02-07,20.55
2009-02-14,19.94
2009-02-21,17.72
2009-02-28,17.19
2009-03-07,18.61
2009-03-14,18.16
2009-03-21,18.82
2009-03-28,18.55
2009-04-04,18.72
2009-04-11,19.2
2009-04-18,18.44
2009-04-25,18.73
2009-05-02,19.86
2009-05-09,19.65
2009-05-16,19.62
2009-05-23,20.04
2009-05-30,20.01
2009-06-06,19.89
2009-06-13,20.24
2009-06-20,20.56
2009-06-27,20.08
2009-07-04,20.0
2009-07-11,20.69
2009-07-18,21.76
2009-07-25,21.73
2009-08-01,21.55
2009-08-08,21.78
2009-08-15,22.37
2009-08-22,22.36
2009-08-29,22.22
2009-09-05,22.55
2009-09-12,22.43
2009-09-19,22.35
2009-09-26,22.05
2009-10-03,22.62
2009-10-10,22.9
2009-10-17,22.49
2009-10-24,21.99
2009-10-31,22.84
2009-11-07,23.33
2009-11-14,23.8
2009-11-21,24.12
2009-11-28,24.27
2009-12-05,24.5
2009-12-12,24.38
2009-12-19,24.78
2009-12-26,24.47
