Date,Adj Close
2006-06-19,14.77
2006-06-26,14.9
2006-07-03,14.68
2006-07-10,14.01
2006-07-17,13.84
2006-07-24,13.97
2006-07-31,14.21
2006-08-07,14.02
2006-08-14,14.79
2006-08-21,14.06
2006-08-28,14.47
2006-09-04,14.65
2006-09-11,15.33
2006-09-18,15.47
2006-09-25,15.56
2006-10-02,15.93
2006-10-09,16.39
2006-10-16,16.19
2006-10-23,16.36
2006-10-30,15.79
2006-11-06,16.36
2006-11-13,16.36
2006-11-20,16.41
2006-11-27,16.06
2006-12-04,16.36
2006-12-11,16.47
2006-12-18,16.15
2006-12-25,16.11
2007-01-01,16.21
2007-01-08,16.85
2007-01-15,16.66
2007-01-22,16.42
2007-01-29,16.91
2007-02-05,16.95
2007-02-12,17.26
2007-02-19,17.24
2007-02-26,16.29
2007-03-05,16.5
2007-03-12,16.45
2007-03-19,17.23
2007-03-26,17.09
2007-04-02,17.38
2007-04-09,17.32
2007-04-16,17.61
2007-04-23,17.42
2007-04-30,17.07
2007-05-07,16.95
2007-05-14,17.02
2007-05-21,17.22
2007-05-28,17.99
2007-06-04,17.45
2007-06-11,17.47
2007-06-18,17.27
2007-06-25,17.2
2007-07-02,17.63
2007-07-09,17.47
2007-07-16,17.04
2007-07-23,15.61
2007-07-30,15.44
2007-08-06,15.48
2007-08-13,15.21
2007-08-20,15.89
2007-08-27,15.66
2007-09-03,15.04
2007-09-10,15.42
2007-09-17,15.75
2007-09-24,15.47
2007-10-01,16.38
2007-10-08,16.12
2007-10-15,14.86
2007-10-22,15.29
2007-10-29,14.51
2007-11-05,13.81
2007-11-12,13.98
2007-11-19,13.8
2007-11-26,14.07
2007-12-03,14.4
2007-12-10,13.5
2007-12-17,13.67
2007-12-24,13.53
2007-12-31,12.27
2008-01-07,11.9
2008-01-14,11.79
2008-01-21,12.37
2008-01-28,13.84
2008-02-04,13.31
2008-02-11,13.11
2008-02-18,13.06
2008-02-25,12.66
2008-03-03,12.05
2008-03-10,12.25
2008-03-17,13.13
2008-03-24,12.54
2008-03-31,13.2
2008-04-07,12.4
2008-04-14,12.99
2008-04-21,13.28
2008-04-28,13.41
2008-05-05,12.95
2008-05-12,13.55
2008-05-19,12.76
2008-05-26,13.22
2008-06-02,12.68
2008-06-09,12.94
2008-06-16,12.31
2008-06-23,11.75
2008-06-30,11.63
2008-07-07,11.04
2008-07-14,11.83
2008-07-21,11.91
2008-07-28,12.12
2008-08-04,12.63
2008-08-11,12.93
2008-08-18,12.7
2008-08-25,12.92
2008-09-01,13.27
2008-09-08,13.32
2008-09-15,13.43
2008-09-22,12.97
2008-09-29,11.33
2008-10-06,9.63
2008-10-13,9.14
2008-10-20,7.94
2008-10-27,9.29
2008-11-03,8.41
2008-11-10,7.41
2008-11-17,6.38
2008-11-24,7.41
2008-12-01,7.88
2008-12-08,7.72
2008-12-15,8.08
2008-12-22,7.88
2008-12-29,8.63
2009-01-05,8.46
2009-01-12,8.37
2009-01-19,8.14
2009-01-26,8.0
2009-02-02,8.56
2009-02-09,8.16
2009-02-16,8.09
2009-02-23,8.06
2009-03-02,7.45
2009-03-09,8.48
2009-03-16,8.68
2009-03-23,9.57
2009-03-30,10.09
2009-04-06,10.47
2009-04-13,10.72
2009-04-20,10.94
2009-04-27,11.1
2009-05-04,11.13
2009-05-11,10.42
2009-05-18,10.66
2009-05-25,11.2
2009-06-01,11.61
2009-06-08,11.45
2009-06-15,11.08
2009-06-22,11.27
2009-06-29,10.9
2009-07-06,10.87
2009-07-13,11.77
2009-07-20,12.42
2009-07-27,12.46
2009-08-03,13.26
2009-08-10,12.71
2009-08-17,12.97
2009-08-24,13.31
2009-08-31,13.34
2009-09-07,13.49
2009-09-14,14.05
2009-09-21,13.71
2009-09-28,13.44
2009-10-05,14.44
2009-10-12,14.84
2009-10-19,14.79
2009-10-26,13.82
2009-11-02,14.21
2009-11-09,14.5
2009-11-16,14.34
2009-11-23,14.32
2009-11-30,14.34
2009-12-07,14.53
2009-12-14,14.39
2009-12-21,14.99
2009-12-28,14.7
