,date,value
0,1954,1.13
1,1955,1.44
2,1956,2.5
3,1957,3.0
4,1958,3.0
5,1959,2.38
6,1960,4.0
7,1961,3.0
8,1962,2.5
9,1963,3.0
10,1964,3.25
11,1965,4.0
12,1966,4.63
13,1967,5.0
14,1968,4.5
15,1969,4.0
16,1970,5.0
17,1971,3.0
18,1972,3.0
19,1973,5.5
20,1974,9.83
21,1975,3.87
22,1976,5.37
23,1977,4.17
24,1978,6.53
25,1979,10.84
26,1980,14.77
27,1981,22.0
28,1982,13.13
29,1983,11.2
30,1984,9.92
31,1985,8.74
32,1986,13.46
33,1987,14.35
34,1988,6.89
35,1989,9.04
36,1990,7.97
37,1991,5.53
38,1992,4.09
39,1993,2.66
40,1994,2.85
41,1995,4.94
42,1996,4.73
43,1997,6.26
44,1998,5.84
45,1999,4.07
46,2000,3.99
47,2001,5.41
48,2002,1.52
49,2003,1.16
50,2004,0.94
51,2005,1.97
52,2006,4.09
53,2007,5.17
54,2008,3.06
55,2009,0.14
56,2010,0.05
57,2011,0.13
58,2012,0.04
59,2013,0.09
60,2014,0.07
61,2015,0.06
62,2016,0.2
63,2017,0.55
64,2018,1.42
65,2019,2.4
66,2020,1.55
67,2021,0.09
68,2022,0.08
69,2023,4.33
70,2024,5.33
