,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2023,9%,11%,7%,4%,13%,13%,8%,27%,2%,2%,2%
2022,8%,9%,8%,5%,14%,15%,9%,23%,3%,3%,3%
2021,15%,13%,6%,3%,11%,13%,7%,25%,2%,3%,2%
2020,14%,13%,7%,2%,10%,12%,8%,26%,2%,2%,2%
2019,14%,10%,8%,4%,13%,13%,8%,23%,2%,3%,3%
2018,13%,10%,8%,4%,13%,14%,8%,22%,2%,3%,3%
2017,13%,10%,9%,5%,15%,12%,9%,19%,2%,3%,3%
2016,13%,9%,10%,6%,15%,12%,10%,17%,2%,3%,3%
2015,13%,10%,10%,6%,14%,14%,9%,16%,2%,3%,3%
2014,10%,9%,10%,7%,16%,14%,10%,16%,2%,3%,3%
2013,38%,6%,7%,6%,11%,9%,7%,11%,2%,2%,2%
2012,33%,6%,8%,7%,11%,8%,7%,14%,2%,2%,2%
2011,33%,6%,9%,7%,10%,8%,7%,13%,2%,2%,3%
2010,32%,6%,8%,7%,12%,8%,8%,12%,2%,2%,2%
2009,35%,5%,8%,7%,12%,9%,7%,12%,2%,1%,2%
2008,26%,4%,10%,9%,12%,10%,8%,13%,2%,1%,3%
2007,34%,4%,7%,8%,13%,9%,8%,10%,2%,1%,3%
2006,27%,5%,8%,8%,17%,9%,9%,11%,2%,2%,3%
2005,26%,5%,8%,7%,17%,10%,10%,11%,2%,1%,3%
2004,16%,7%,10%,7%,19%,12%,11%,13%,2%,1%,3%
2003,5%,6%,12%,7%,20%,15%,12%,17%,2%,1%,3%
2002,5%,5%,13%,7%,20%,15%,12%,16%,2%,1%,3%
